,ngram,annotated hyponyms
297,Fish,n02592734 n01491661 n02579762 n02589316 n02649218 n02546627 n02564270 n01447946 n02522722 n02608547 n01444339 n01445429 n02630281 n02653497 n01447658 n02528163 n02659808 n02601344 n02599958 n02619165 n02596381 n02610980 n02532918 n02599557 n02645538 n02519148 n02621908 n02520147 n02657368 n02562315 n02661473 n02550655 n02537085 n02569484 n02629230 n02627835 n02614482 n01491361 n02530052 n02536165 n02563648 n01456454 n01443537 n01449374 n02519340 n01481331 n02544274 n02534165 n02655523 n02525382 n02548247 n02649546 n01486838 n02587051 n01443243 n02598573 n02598878 n02597818 n02591911 n02601767 n02568087 n01440467 n02662559 n02630615 n02630739 n02580830 n01489709 n02517442 n02602405 n02537525 n02530421 n02538985 n02607862 n02518324 n01482330 n02648625 n02608996 n01496331 n01445593 n02586238 n02563949 n02549989 n02663849 n02662993 n01486540 n02557909 n02598134 n02657694 n02570484 n02526818 n01484562 n02652132 n01494041 n02556373 n01446589 n02624551 n02653145 n02512938 n02613820 n02566665 n02561108 n01498041 n02588945 n01483830 n02606751 n02558206 n02651060 n02547014 n01495006 n02622547 n02594942 n01492569 n02548884 n02614653 n02567334 n01501948 n02623445 n02520525 n02583567 n02660208 n02638596 n02524202 n02530999 n02636170 n02526121 n02629716 n02635580 n02554730 n02606384 n01449712 n02513248 n02614140 n02534559 n02551134 n01492357 n01446760 n02632494 n02633677 n02590987 n02581108 n02650541 n02549248 n02635154 n02575325 n02512830 n02571167 n02513560 n01438581 n02626089 n02549376 n02640242 n02587618 n01442450 n02547733 n02513805 n02606052 n02605936 n01455778 n01494882 n02661017 n02559144 n02589623 n02596720 n02637475 n02658531 n02584449 n02595339 n01499732 n02658811 n01497118 n02516776 n02523877 n02600503 n01453742 n01453475 n01442972 n02618513 n02640626 n02569631 n02602059 n02625612 n02624807 n02631628 n02641379 n02597608 n02579303 n02660640 n02564935 n02631041 n01497738 n02614978 n02516188 n01454545 n01488038 n02639087 n02599347 n02538216 n02525703 n02617537 n02593453 n02542432 n02593679 n02601921 n02563182 n02519686 n02576575 n02618094 n02616128 n02650050 n01484850 n01481498 n02612167 n02611561 n01491006 n02539894 n01456756 n01451863 n02607470 n01439514 n01482071 n02599052 n02537716 n02532786 n01495701 n01500091 n02513355 n02595056 n02631475 n02542017 n02662825 n01484097 n02626265 n02626762 n02637179 n01483021 n02527057 n01494475 n01480516 n02600298 n02570838 n02665250 n01429172 n02644360 n02519862 n02520810 n02535163 n02515713 n02624987 n02536864 n02536456 n02532602 n02582721 n01440160 n01484447 n01492860 n02595702 n01443831 n02626471 n02613572 n02512752 n02565072 n02558860 n02659478 n02653786 n02541687 n02607201 n02593191 n02577952 n01454856 n02664642 n02588286 n02604954 n02512053 n01492708 n02633422 n02644665 n02535258 n01438208 n02655848 n02539573 n02664285 n01500854 n02557182 n02660091 n01457407 n02527622 n02624167 n02532272 n01490112 n02652668 n02557318 n02550203 n02659176 n01453087 n02587479 n01498699 n02581957 n02561381 n02562971 n01490670 n02631775 n02662239 n02610664 n02636854 n02577662 n02654112 n02662397 n02620167 n02523427 n02603862 n02600798 n02561937 n02538562 n02559862 n02572484 n01457082 n02625851 n02570164 n02618827 n02562796 n02633977 n01486010 n02550460 n02621258 n02597004 n02574910 n02560110 n02578233 n02530637 n02575590 n02640857 n02592055 n01448594 n01501777 n01450950 n02590702 n01500476 n01483522 n01456137 n01493829 n01484285 n01487506 n02628062 n02628600 n02642644 n01441117 n02522637 n02568447 n02574271 n02588794 n01448291 n02589062 n02586543 n02616397 n02584145 n02585872 n02597972 n02514041 n01440242 n01441425 n02632039 n01491874 n02591613 n02540983 n02596252 n02611898 n02576223 n01446152 n01452345 n02559383 n02533545 n02567633 n02604480 n02636405 n02656032 n01495493 n02625258 n02603317 n02609823 n01447139 n02580679 n01489501 n01447331 n02645953 n02565324 n02593019 n02569905 n02561803 n02646892 n02636550 n02530831 n02539424 n01457852 n02533209 n02643112 n02643836 n02648035 n02579557 n02552171 n02530188 n02545841 n02663485 n02658079 n02645691 n02557591 n01448951 n02644501 n01449980 n02531625 n02619861 n02553028 n02576906 n01502101 n02578771 n01498989 n02538406 n02522866 n02546028 n02535080 n02513727 n01439808 n02564403 n02527271 n02655020 n02608284 n02590094 n02542958 n01451115 n02577041 n02578454 n02639922 n01480880 n02582220 n01488918 n02619550 n01493541 n02602760 n02581482 n02648916 n01455461 n01440764 n02634545 n02660519 n02650413 n02643566 n02637977 n02631330 n02597367 n02571652 n02610066 n02523110 n02566109 n02582349 n02654425 n02546331 n02557749 n01501160 n02551668 n02604157 n02661618 n02573249 n02622712 n02646667 n02628259 n02589196 n02572196 n02519472 n02532028 n02579928 n02580336 n01451426 n02573704 n02605703 n02538010 n02622249 n02610373 n02566489 n02532451 n02591330 n02622955 n02642107 n01501641 n02535537 n02564720 n02522399 n02656301 n02521646 n02526425 n02541257 n02627532 n02644113 n02613181 n01490360 n01439121 n02644817 n02639605 n01444783 n01450661 n02581642 n02663211 n02654745 n02556846 n02555863 n02656670 n02543255 n02578928 n02587877 n02565573 n02537319 n01498406 n02589796 n02627292 n01489920 n01485479 n02533834 n02563079 n01499396 n01494757 n02518622 n02627037 n02513939 n02561661 n02563792 n02587300 n02616851 n02524524 n02577403 n02607072 n01455317 n02543565 n02620578 n02535759 n02608860 n02603540 n02615298 n02656969 n02515214 n02592371 n02596067 n02524659 n02590495 n02534734 n02571810 n01493146 n02568959 n02529772 n01497413 n02531114 n02583890 n02605316 n02577164 n01441910 n01445857 n02524928 n02517938 n01441272 n01316579 n01442710 n02548689 n02529293 n02594250 n02561514 n02540412 n02609302 n01451295 n02643316
298,Sand,n15019030
299,door handle,n03824589
300,railway,n03555217 n04102406
301,flower with stem,n12044467 n12060546 n12297280 n11887476 n12080820 n12083847 n12877244 n11725480 n12053962 n11947802 n12914923 n12361946 n12067193 n12080588 n11794024 n12026018 n12073554 n12296929 n11892181 n11932927 n12891824 n12909614 n12077244 n12683571 n12052787 n12053690 n12362668 n11935469 n12076223 n11725821 n11725973 n12066451 n11937278 n11990627 n11920498 n11811921 n12291671 n12290975 n11859472 n12086539 n11923174 n11902200 n11888800 n12062781 n12074408 n12063639 n12061104 n11937360 n11808299 n12008749 n11936624 n11721337 n11857696 n11900569 n12085267 n12001924 n11936782 n12071477 n12043673 n12909421 n11887310 n11883628 n12909917 n11978551 n11992806 n11925303 n11971783 n12084158 n12683791 n12057660 n11935794 n11989869 n11933546 n12294124 n11793779 n11901977 n11925450 n12067672 n11806814 n11809437 n12076852 n11888424 n11932745 n11936707 n12056990 n11815491 n11943992 n12833985 n11840476 n12015221 n11839823 n11979354 n12051792 n11987511 n12360108 n11933387 n11907405 n11806369 n12086012 n11990313 n11934616 n11906127 n12031139 n11933257 n12085664 n12075010 n11935877 n12067433 n12078451 n11892029 n12046815 n11933903 n12008252 n11962272 n11979187 n12093329 n12951146 n11733054 n11725623 n12065316 n11736851 n12031547 n11979715 n11736694 n11955896 n12879527 n12443736 n12030092 n12058192 n12290748 n12026476 n12052447 n12065649 n12837259 n11971406 n12064591 n11960245 n12890928 n12073991 n11672269 n11812094 n11818636 n12362274 n12830222 n11808468 n12070712 n11727540 n12045157 n12834190 n12048928 n12072210 n12891305 n11915214 n11809094 n12075299 n12890265 n12057895 n11902389 n11733312 n12069009 n11939699 n11809271 n11971927 n11810358 n12083113 n11727358 n11961446 n12883628 n11972959 n11726707 n11813077 n11889619 n11805956 n11812910 n12020184 n12083591 n12062105 n11669921 n12041446 n12020736 n12063211 n12013701 n12877493 n12297110 n11918473 n11727091 n11921395 n12069217 n11792341 n12054195 n11839568 n11999656 n12023407 n11840246 n11908846 n12033504 n11937195 n11732567 n11979527 n12066261 n11946727 n12049282 n11883328 n11933728 n11933099 n11887119 n12831141 n11935715 n11892637 n11726269 n12034384 n12295033 n11918286 n11737009 n11859275 n11907100 n12836862 n11970101 n11806679 n11961100 n12056601 n11936864 n11815721 n12799776 n11978713 n11726433 n11905392 n12061380 n12043836 n12080395 n12061614 n12837466 n12683407 n12833149 n12075830 n12295429 n12291459 n12050533 n12008487 n12044784 n12890490 n12079120 n12058822 n11969607 n11936287 n11936027 n12013511 n12069679 n12068138 n11811473 n12066018 n12044041 n12252383 n11988596 n12360534 n11815918 n11896141 n11821184 n12082131 n11934463 n11906514 n12081649 n12051514 n12837052 n11936199 n12023726 n12046428 n12035907 n12891643 n11794139 n11935953 n12064389 n12056099 n11891175 n11840067 n11950686 n12047345 n11816121 n11915899 n12009047 n12052267 n11892817 n11859737 n12294723 n12294331 n11836327 n11901597 n12045514 n11937446 n12070583 n12071744 n11903671 n12031388 n11936448 n12360817 n12068432 n12066630 n11978961 n12362514 n12058630 n11946918 n11935187 n12297507 n12078747 n12046028 n11737125 n12007766 n12030908 n11923397 n12480456 n11937023 n11906917 n12057211 n12884100 n12877637 n11935330 n12475035 n11920663 n11969806 n12030654 n12001707 n11950345 n11806521 n12056758 n12892013 n11725311 n11808721 n11816829 n12295237 n12444095 n12086778 n11901294 n12296045 n11887750 n11918808 n11948469 n12076577 n11972759 n12020507 n12084890 n12079963 n12059314 n11958080 n12020941 n12065777 n12081215 n12055516 n11992479 n12361135 n12884260 n12034141 n11808932 n11936946 n11936369 n12084400 n12072722 n12418507 n12361560 n11950877 n12070381 n12360958 n12074867 n12294871 n12022054 n11820965 n11826198 n12950314 n11839460 n11857875 n11978233 n11951052 n12062626 n12071259 n11934041 n12033709 n12034594 n11719286 n12293723 n11936539 n11814584 n11725015 n11935627 n12053405 n12077944 n11970298 n12079523 n11971248 n12291143 n12055073 n11901452 n12067029 n12898774 n12606438 n12067817 n11904109 n12295796 n11816649 n11943407 n11811706 n12361754 n12252168 n11905749 n12050959 n12062468 n12078172 n11958499 n12913144 n12075151 n12047884 n12048056 n12093600 n11807979 n12035631 n11809754 n11840764 n11917407 n11939491 n11908549 n11934807 n12070016 n12045860 n12073217 n12057447 n12294542 n11981192 n11980318 n12068615 n12475242 n11990167 n12296735 n12056217 n11724660 n11936113 n11923637 n11915658 n11901759 n11941924 n12059625 n12360684 n12066821 n11935027 n11934239 n12043444 n11806219 n11809594 n12950126 n12909759 n12297846 n12051103 n12048399 n11937102 n12049562 n11943660 n12086192 n11816336 n11958888 n12084555 n11931918 n12296432 n11726145 n12877838 n11727738
302,bell,n04203356 n03344305 n03028596 n04401578 n04236935 n04146504 n03123917 n04444121 n04187751 n03201529 n03270695 n03166951 n02824448
303,wall,n03409393 n02987823 n04544325 n04546855 n03904657 n04013176 n04215588 n03889626 n02755823 n03105974 n03017698 n02825961 n02817386
304,armchair,n03262932 n02957862 n02738535 n03325403 n03786621 n04593077 n04062428
305,Snow,n11508382
306,Bench,n03907908 n04590021 n03891251 n03360622 n04177820 n02788386 n03920867 n04002371 n02828884
307,church,n03028079 n03618982 n02984061 n02984203 n02667576 n03772077 n02801184
308,vessel,n02918455 n03718212 n04129490 n02792552 n04208760 n03768823 n04147183 n03351262 n03833907 n02763198 n04485750 n03362771 n03468570 n04146862 n04552696 n03465151 n03603594 n02901620 n03977592 n03199901 n02933750 n04229480 n02853336 n03426871 n03612010 n03344393 n03180732 n02901377 n02965300 n03900194 n04158807 n04457326 n04245412 n03327133 n02755529 n04483307 n02965216 n04308807 n04347754 n03660562 n04476116 n04133114 n04210288 n04427473 n03466600 n03545470 n04197110 n03045228 n03609235 n04363082 n04587327 n03811295 n03556811 n03236093 n04224543 n04359034 n03236423 n04469684 n04095210 n03556992 n04024983 n03939178 n03141327 n03845190 n04348184 n02986348 n03061345 n04574348 n02951358 n03397266 n03180504 n03397412 n04194289 n02878222 n04457474 n03464628 n04242587 n02784124 n03412511 n03662601 n04038231 n04487894 n03411339 n04610013 n03859170 n02964295 n04150273 n04150371 n03585551 n04291992 n04567746 n02811618 n03254374 n03186285 n04244997 n04363671 n03552749 n03647423 n04273569 n04244847 n02968210 n03874138 n03947888 n02956393 n02858304 n04190997 n03105306 n04115456 n03673027 n03973003 n03447447 n03436772 n04317063 n04037964 n04530566 n03698604 n02981792 n02932891 n04574471 n04606251 n04037298 n03436891 n03466493 n03668488 n03541269 n03381565 n02843029 n02687172 n03316873 n02792409 n03609786 n02812201 n03548533 n03095699 n02666501 n03710079 n04215800 n04495843 n04309348 n04612373 n03981566 n04612504 n04006067 n03154316 n03329663 n03696445 n03356038 n04562122 n04038338 n04242408 n04091584 n04128837 n04474187 n03790230 n03703203 n02737351 n03602081 n03896103 n03861430 n03567788 n04577293 n04577139 n02982416 n04128499 n02793199 n03140900 n04409011 n04409128 n04477725 n02947660 n04017807
309,table,n04130143 n03961630 n02976815 n03164722 n03179701 n03904060 n03620967 n04061681 n04379243 n03011741 n03735963 n03764606 n03653583 n03063968 n03414676 n02699629 n04301000 n04366033 n04398951 n04603729 n03428226 n04381587 n04436012 n03092883 n03231368 n03116530 n03869838 n02789487 n03892728 n02874214 n03076623 n04255768 n03630262 n04480033 n03934565 n04608329 n04164868 n03090000 n03246933 n04247736 n03465426 n03982430 n02964075 n04573513 n02964196 n04600486 n03850492 n02894337 n04591631 n03238586
310,trumpet,n04174500 n03110669
311,boat,n04308807 n04038231 n02918455 n03603594 n02792552 n04208760 n02843029 n03859170 n03436891 n02964295 n04229480 n03609786 n04150273 n04150371 n03545470 n04037964 n03468570 n03609235 n03436772 n04024983 n04495843 n03254374 n04244997 n04612504 n04363671 n03552749 n03647423 n04273569 n03236423 n03696445 n03977592 n03710079 n04577139 n04562122 n02858304 n04095210 n04038338 n04190997 n03105306 n03939178 n03344393 n03790230 n03703203 n02737351 n03602081 n04574348 n03447447 n03861430 n02951358 n04158807 n03199901 n04577293 n04133114 n03061345 n04115456 n02932891 n03329663 n04409128 n03464628 n02947660 n03662601 n03981566
312,belt,n03527565 n02827606 n02786611 n02778294 n02972397 n03781683 n04125853 n04162706 n04132465
313,motorbike,n03785016 n03769722
314,traffic light,n06874185
315,submarine,n02755529 n03811295 n02763198 n04347754 n03362771
316,beer,n07888229 n07890226 n07889274 n07888058 n07888465 n07887192 n07889510 n07890352 n07889814 n07890540 n07889990 n07887304 n07887099 n07887967 n07886849 n07887634 n07887461 n07890068 n07888816
317,helicopter,n04223066 n03512147 n02965122 n04212467
318,brick,n02897820 n03796522 n03043693 n03503097 n02681392 n03344642
319,tennis-racket,n04409806
320,squirrel,n02356612 n02361090 n02357401 n02357111 n02362194 n02355477 n02360933 n02358712 n02358091 n02358890 n02356381 n02357911 n02360781 n02360480 n02355227 n02358390 n02360282 n02359915 n02358584 n02357585 n02356977 n02359047 n02356798
321,mushroom,n13032115 n13032923 n12997919 n13033577 n13032381 n13033879 n13033134 n13033396 n13034062 n13032618
323,tiger,n02129604 n02129923 n02129837 n01323068
324,child,n10107173 n10641223 n09917593 n10763075 n09833441 n10741367 n10457214 n09918867 n10384392
325,teapot,n04398044
327,tank,n04389033 n03886053
329,rope,n03644073 n02919890 n04290079 n03500209 n03644378 n04108268 n04172512 n03491724 n04009923 n03107046
330,baseball bat,n02799175
331,newspaper,n06267758 n06267893 n06267564 n06267145 n06267655
332,bathtub,n02808440 n03543603 n04225031 n03379343
333,canoe,n03609235 n03254374 n03861430 n02843029 n02951358
334,calculator,n02666196 n03116767 n04021362 n02679142 n02679257 n03807334 n04142175 n03483823 n04348988 n04035231 n02938886
335,purse,n03301940 n03055418 n04207343 n02774152 n04083309 n03301291
336,telephone,n02992529 n04401088 n04270371 n03179910 n03902125 n03488438 n04044498 n03187595 n03306869
337,rooster,n01792429 n01792158
338,Bush,n12668131 n12346813 n12669362 n12919403 n11741350 n12174926 n12903014 n12526516 n11800565 n13239177 n12659539 n12797860 n11833373 n12526754 n11740414 n12186352 n12342852 n11928352 n12187663 n12626674 n12175181 n12921315 n12922119 n12764202 n11760785 n12746884 n12918810 n12241880 n11797981 n12098827 n12489046 n12622297 n12380761 n12236768 n11924849 n12924623 n12097556 n12237641 n12180456 n13143758 n12902662 n12247407 n12329260 n11598287 n12705978 n11931540 n12244819 n12368257 n12538209 n12749456 n12504570 n12504783 n12310349 n12308447 n11798496 n11742310 n12760539 n12199266 n11929743 n12922763 n12519089 n12251740 n11765568 n12919646 n12253487 n12253664 n12869478 n12265083 n12186839 n12368028 n12627347 n11930038 n12921868 n12228689 n12181352 n12369066 n12666965 n12229651 n12918991 n12680864 n12764008 n12673588 n11835251 n12627526 n11797508 n11751765 n12227658 n12463134 n12215022 n12310021 n12512095 n12514592 n12903964 n12363768 n12679593 n12805146 n12928071 n12092930 n12672289 n12525168 n12747120 n12097396 n12677841 n11941094 n12620196 n12706410 n12238913 n12485653 n12498457 n12187891 n12240965 n12536291 n12483625 n12512294 n12534862 n12675515 n11598686 n12233249 n12229111 n12518481 n12680652 n12217453 n12397431 n12222493 n12232851 n12228387 n12215210 n12806015 n12220019 n12674685 n12244650 n11907689 n12185859 n12676370 n12374862 n11974373 n12237486 n12705458 n12905135 n12749049 n12601805 n12014355 n11741175 n11928858 n12254168 n12332555 n12624568 n12499163 n12929600 n12240477 n12246232 n12514992 n12350032 n12001294 n12749852 n11947251 n11698245 n12572759 n12762896 n12621410 n12680402 n12723062 n12374418 n12311045 n12009420 n12903367 n12315060 n12246941 n12245695 n11925898 n12534625 n12921499 n12517077 n11865574 n12626878 n11865429 n12173912 n12789977 n12178896 n12559044 n12248780 n12307240 n12949160 n11798688 n12913791 n12926689 n11774972 n12217851 n12679023 n12705013 n12550210 n12629305 n12375769 n12307756 n11771539 n11974888 n12315245 n12550408 n11874878 n12499757 n12620969 n13118707 n11741797 n12240150 n11769176 n12239240 n12918609 n12243109 n11701302 n11865276 n12631331 n12917901 n12235051 n12625823 n12521186 n12572546 n12897118 n11775626 n12242123 n12507823 n12484244 n12871272 n12681893 n12218490 n12789054 n12723610 n11768816 n12751675 n13118330 n12790430 n11776234 n12871859 n12245885 n11598886 n12315999 n12574866 n12929403 n12904938 n11997969 n11948264 n11948864 n12205460 n12482668 n11754893 n12482437 n12386945 n12204730 n12183816 n12681376 n12529905 n12602262 n11700864 n12231192 n12011620 n11947629 n12178129 n12869668 n12926480 n11698042 n12850336 n12870048 n12255225 n12636885 n12938193 n11865874 n12659356 n12252866 n12776774 n12369665 n12500751 n12238756 n11699442 n11699751 n12325787 n12171316 n12530629 n12306717 n11930571 n12216628 n12246773 n12567950 n12368451 n11697802 n12919847 n11778257 n12249122 n12861541 n12303083 n11931135 n11831521 n12646950 n12648424 n12367611 n12220829 n12308907 n12186554 n12248941 n12179632 n12899971 n12602434 n11751974 n12483282 n12346986 n12777892 n11897466 n12182276 n12302565 n12621945 n12621619 n12200504 n12625383 n11924445 n12218274 n12674895 n12661538 n12637123 n12899537 n12899752 n11948044 n12920043 n12632335 n12245319 n12237152 n12835766 n12183026 n12198793 n12901724 n12177129 n11706325 n12193665 n11774513 n12215579 n12678794 n12234669 n11996677 n12862828 n12199399 n12246037 n11938556 n11940006 n12382233 n11763142 n12764507 n13142182 n12315598 n11952346 n12493868 n12311413 n12236977 n12805561 n12851860 n12187247 n12349711 n12572858 n12236160 n11656771 n12546617 n12347158 n11940599 n12525513 n11999278 n12307076 n12871696 n11741575 n12378249 n12791329 n12483427 n12100187 n12927194 n11771746 n12253229 n12372233 n12176453 n12231709 n12515393 n12018760 n11826569 n12721122 n12777436 n12215824 n12705698 n11834890 n12919195 n12218868 n12760875 n12176709 n11775340 n11777080 n12239880 n12346578 n12310638 n12247202 n12667964 n11766189 n12899166 n11930353 n12938081 n12628356 n12628705 n12308112 n12175370 n12249294 n12679432 n11998492 n12516584 n12749679 n13143285 n12247963 n12786836 n12349315 n13141972 n12184912 n12244153 n11940750 n12791064 n12173069 n12173664 n12681579 n11701066 n12511856 n13142504 n12369845 n12184468 n12184095 n12750767 n12381511 n13141564 n12369309 n12324222 n12815198 n12174311 n12763529 n12172481 n12230794 n12545635 n12232114 n12098524 n12235479 n12518013 n11764814 n12885510 n12243693 n12241426 n12676534 n12546962 n11930203 n12230540 n12229887 n11652966 n12500518 n12182049 n12181612 n12923108 n12675876 n12552893 n12627119 n11778092 n12178780 n12623818 n12382875 n12677331 n11952541 n12789554 n12777778 n12777680 n13238988 n12922458 n12306938 n13141141 n12772753 n12676703 n12497669 n12328398 n12248141 n11976933 n12757115 n12674120 n12242850 n12579404 n12482893 n12174521 n12831535 n12651229 n12772908 n11827541 n11834654 n12489815 n12676134 n12625670 n12236546 n12562141 n12176953 n12099342 n12762049 n12239647 n12631932 n12631637 n12633061 n11940349 n12374705 n12920719 n12249542 n12234318 n12175598 n12226932 n12602612 n11742878 n12949361 n12905412 n12920521 n12248359 n12662379 n12248574 n11926365 n12311579 n12378753 n12019035 n12705220 n11930788 n12244458 n12805762 n12279060 n12671651 n12171098 n12902466 n11697560 n12861345 n12632733 n12928491 n11830906 n12499979 n12214789 n12530818 n12232280 n12928307 n12237855 n11930994 n12179122 n12369476 n12483841 n12228886 n12870225 n12920955 n12849952 n12183452 n12241192 n12396924 n12309277 n12670334 n12177455 n12223764 n12223569 n12900783 n12328567 n12311224 n12897999 n12677120 n12514138 n12545232 n11656549 n12516828 n12788854 n12812801 n12510774 n12343480 n11865071 n12850168 n12920204 n12216968 n12170585 n12216215 n11771924 n12014085 n12624381 n12328801 n12180168 n11974557 n12251001 n12773142 n12921660 n12675299 n12343753 n12531328 n12845908 n11798270 n12253835 n12903503 n11831297 n12228229 n12521394
340,violin,n02700895 n04536866 n04330998 n03465500
341,mouse,n02337001 n02333190 n02337598 n02332447 n02336826 n02332755 n02337332 n02336641 n02332954 n02332156 n02337171 n02330245
342,helmet,n03513137 n03127747 n03379051 n02811350 n04265428 n03504205 n03492922 n04229107
343,bowl,n04130257 n04242704 n03775546 n03341606 n03984759 n02880940 n02997910 n04023695 n04263257
344,vegetable,n07719058 n07736256 n07733567 n07725255 n07721678 n07710007 n07730406 n07733394 n07719437 n07720277 n07711799 n07711569 n07710616 n07733217 n07736692 n07713267 n07723039 n07718068 n07733124 n07726095 n07708398 n07723753 n07713074 n07714078 n07734292 n07729142 n07721325 n07707451 n07717070 n07717556 n07734417 n07728708 n07714287 n07721833 n07709046 n07714802 n07736527 n07736087 n07719839 n07725531 n07734744 n07721018 n07709701 n07729225 n07724654 n07718671 n07715103 n07721942 n07718747 n07730855 n07716358 n07731767 n07723177 n07710952 n07714448 n07727741 n07716906 n07719756 n07714571 n07724943 n07736371 n07720442 n07733847 n07733005 n07724819 n07714895 n07735803 n07717410 n07724078 n07727048 n07735981 n07729000 n07720084 n07729384 n07726796 n07718195 n07709172 n07719980 n07726386 n07725888 n07717858 n07730207 n07817871 n07722217 n07716649 n07721456 n07727868 n07708124 n07725376 n07728391 n07728585 n07736971 n07730033 n07716203 n07716750 n07713763 n07728804 n07731006 n07725789 n07715561 n07724492 n07722888 n07733712 n07713895 n07735404 n07728181 n07725158 n07716504 n07727140 n07708798 n07711371 n07734555 n07727377 n07735687 n07724269 n07768423 n07722052 n07720185 n07723330 n07711907 n07712267 n07714990 n07727578 n07716034 n07709333 n07723968 n07723559 n07732904 n07714188 n07711232 n07735510 n07718329 n07729828 n07721195 n07719616 n07715221 n07732747 n07724173 n07735052 n07722763 n07721118 n07722485 n07728284 n07726009 n07729926 n07734017 n07735179 n07719213 n07728053 n07722390 n07736813 n07820036 n07734183 n07727458 n07730708 n07727252 n07725663 n07710283 n07726230 n07715721 n07715407 n07729485 n07719330 n07712063 n07718920 n07735294 n07720875 n07726672 n07718472 n07713395 n07731587 n07730562 n07717714 n07711080 n07722666 n07720615
